ID,LABELS,X.COR,Y.COR
AD19-025,LM6,3462,3330
AD19-025,LM7,3434,3217
AD19-025,LM8,3154,3171
AD19-025,LM9,3087,3125
AD19-025,LM10,2923,3057
AD19-025,LM11,2573,3073
AD19-025,LM12,2522,3083
AD19-025,LM13,2720,3222
AD19-025,LM14,2736,3148
AD19-025,LM15,2435,3227
AD19-025,LM16,2525,3230
AD19-026,LM1,2515,2282
AD19-026,LM2,2854,2341
AD19-026,LM3,3461,2360
AD19-026,LM4,3797,2242
AD19-026,LM5,4265,2163
AD19-026,LM6,4254,1997
AD19-026,LM7,4212,1844
AD19-026,LM8,3676,1857
AD19-026,LM9,3556,1821
AD19-026,LM10,3263,1794
AD19-026,LM11,2822,1982
AD19-026,LM12,2739,2025
AD19-026,LM13,2990,2093
AD19-026,LM14,3020,1982
AD19-026,LM15,2628,2220
AD19-026,LM16,2762,2217
AD19-027,LM1,2695,2317
AD19-027,LM2,3092,2391
AD19-027,LM3,3470,2410
AD19-027,LM4,3713,2329
AD19-027,LM5,4116,2262
AD19-027,LM6,4098,2126
AD19-027,LM7,4084,1981
AD19-027,LM8,3640,1986
AD19-027,LM9,3553,1958
AD19-027,LM10,3332,1966
AD19-027,LM11,2951,2074
AD19-027,LM12,2869,2110
AD19-027,LM13,3098,2185
AD19-027,LM14,3128,2093
AD19-027,LM15,2774,2281
AD19-027,LM16,2894,2279
AD19-028,LM1,2556,2117
AD19-028,LM2,2884,2195
AD19-028,LM3,3267,2212
AD19-028,LM4,3484,2141
AD19-028,LM5,3825,2085
AD19-028,LM6,3842,1963
AD19-028,LM7,3806,1842
AD19-028,LM8,3427,1853
AD19-028,LM9,3332,1829
AD19-028,LM10,3140,1836
AD19-028,LM11,2809,1913
AD19-028,LM12,2728,1941
AD19-028,LM13,2937,2022
AD19-028,LM14,2966,1936
AD19-028,LM15,2635,2089
AD19-028,LM16,2742,2091
AD19-029,LM1,2727,2300
AD19-029,LM2,3090,2370
AD19-029,LM3,3568,2428
AD19-029,LM4,3850,2339
AD19-029,LM5,4257,2264
AD19-029,LM6,4294,2113
AD19-029,LM7,4231,1962
AD19-029,LM8,3788,1965
AD19-029,LM9,3673,1920
AD19-029,LM10,3415,1900
AD19-029,LM11,3010,2036
AD19-029,LM12,2928,2074
AD19-029,LM13,3179,2161
AD19-029,LM14,3187,2056
AD19-029,LM15,2829,2264
AD19-029,LM16,2957,2262
AD19-030,LM1,2039,2075
AD19-030,LM2,2357,2158
AD19-030,LM3,2841,2236
AD19-030,LM4,3113,2164
AD19-030,LM5,3498,2122
AD19-030,LM6,3535,1986
AD19-030,LM7,3502,1826
AD19-030,LM8,3072,1808
AD19-030,LM9,2963,1770
AD19-030,LM10,2729,1741
AD19-030,LM11,2339,1843
AD19-030,LM12,2246,1873
AD19-030,LM13,2474,1962
AD19-030,LM14,2520,1865
AD19-030,LM15,2144,2044
AD19-030,LM16,2269,2043
AD19-031,LM1,2317,2042
AD19-031,LM2,2636,2135
AD19-031,LM3,3073,2189
AD19-031,LM4,3338,2120
AD19-031,LM5,3701,2089
AD19-031,LM6,3717,1961
AD19-031,LM7,3670,1818
AD19-031,LM8,3273,1796
AD19-031,LM9,3179,1767
AD19-031,LM10,2958,1761
AD19-031,LM11,2595,1828
AD19-031,LM12,2546,1841
AD19-031,LM13,2758,1955
AD19-031,LM14,2768,1864
AD19-031,LM15,2409,2014
AD19-031,LM16,2526,2009
AD19-032,LM1,2149,2284
AD19-032,LM2,2517,2400
AD19-032,LM3,3028,2494
AD19-032,LM4,3434,2412
AD19-032,LM5,3893,2434
AD19-032,LM6,3963,2261
AD19-032,LM7,3913,2057
AD19-032,LM8,3359,1973
AD19-032,LM9,3229,1918
AD19-032,LM10,2914,1868
AD19-032,LM11,2500,1992
AD19-032,LM12,2361,2038
AD19-032,LM13,2634,2117
AD19-032,LM14,2679,2005
AD19-032,LM15,2239,2220
AD19-032,LM16,2379,2217
AD19-033,LM1,1590,2231
AD19-033,LM2,2171,2352
AD19-033,LM3,2642,2401
AD19-033,LM4,3032,2273
